List of Changed Files,List of Commits
"jempbox/src/org/jempbox/xmp/XMPMetadata.java
jempbox/src/org/jempbox/xmp/XMPSchema.java
jempbox/src/org/jempbox/xmp/XMPSchemaBasic.java
jempbox/src/org/jempbox/xmp/XMPSchemaBasicJobTicket.java
jempbox/src/org/jempbox/xmp/XMPSchemaDublinCore.java","1.7f243f87cb4f470b9f4773321c52f2eb70bcdd0b
2.c5a3ce4e77947ca0977497474d49dc7fc465ad67
3.d72d3e0c95738dd5327b28286c165bb6cf7e2207"
"jempbox/src/org/jempbox/xmp/XMPSchemaDynamicMedia.java
jempbox/src/org/jempbox/xmp/XMPSchemaIptc4xmpCore.java
jempbox/src/org/jempbox/xmp/XMPSchemaMediaManagement.java
jempbox/src/org/jempbox/xmp/XMPSchemaPDF.java
jempbox/src/org/jempbox/xmp/XMPSchemaPagedText.java","1.7f243f87cb4f470b9f4773321c52f2eb70bcdd0b
2.c5a3ce4e77947ca0977497474d49dc7fc465ad67
3.d72d3e0c95738dd5327b28286c165bb6cf7e2207"
"jempbox/website/src/documentation/resources/schema/catalog.xcat
jempbox/website/src/documentation/resources/schema/hello-v10.dtd
jempbox/website/src/documentation/resources/schema/symbols-project-v10.ent
jempbox/website/src/documentation/resources/stylesheets/hello2document.xsl
jempbox/website/src/documentation/sitemap.xmap","1.7f243f87cb4f470b9f4773321c52f2eb70bcdd0b
2.c5a3ce4e77947ca0977497474d49dc7fc465ad67
3.d72d3e0c95738dd5327b28286c165bb6cf7e2207"
"jempbox/website/src/documentation/skinconf.xml
jempbox/website/src/documentation/translations/langcode.xml
jempbox/website/src/documentation/translations/languages_en.xml
jempbox/website/src/documentation/translations/languages_es.xml
jempbox/website/src/documentation/translations/menu.xml","1.7f243f87cb4f470b9f4773321c52f2eb70bcdd0b
2.c5a3ce4e77947ca0977497474d49dc7fc465ad67
3.d72d3e0c95738dd5327b28286c165bb6cf7e2207"
"jempbox/website/src/documentation/translations/menu_af.xml
jempbox/website/src/documentation/translations/menu_de.xml
jempbox/website/src/documentation/translations/menu_es.xml
jempbox/website/src/documentation/translations/menu_it.xml
jempbox/website/src/documentation/translations/menu_no.xml","1.7f243f87cb4f470b9f4773321c52f2eb70bcdd0b
2.c5a3ce4e77947ca0977497474d49dc7fc465ad67
3.d72d3e0c95738dd5327b28286c165bb6cf7e2207"
"jempbox/website/src/documentation/translations/menu_ru.xml
jempbox/website/src/documentation/translations/menu_sk.xml
jempbox/website/src/documentation/translations/tabs.xml
jempbox/website/src/documentation/translations/tabs_es.xml
jempbox/website/status.xml","1.7f243f87cb4f470b9f4773321c52f2eb70bcdd0b
2.c5a3ce4e77947ca0977497474d49dc7fc465ad67
3.d72d3e0c95738dd5327b28286c165bb6cf7e2207"
"pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColor.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorN.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorSpace.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceCMYKColor.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceGrayColor.java","1.a8cbfd833f52da467b561b068cfca9f09751e48f
2.b9273c34bf11968c3bf25122efd79197f04c8964
3.fe69622beeb63f85388fe11074ce93c6765f544c"
"pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceRGBColor.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingColor.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingColorN.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingColorSpace.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceCMYKColor.java","1.a8cbfd833f52da467b561b068cfca9f09751e48f
2.b9273c34bf11968c3bf25122efd79197f04c8964
3.fe69622beeb63f85388fe11074ce93c6765f544c"
"pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceGrayColor.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceRGBColor.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/AppendRectangleToPath.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/BeginInlineImage.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/ClipEvenOddRule.java","1.a8cbfd833f52da467b561b068cfca9f09751e48f
2.b9273c34bf11968c3bf25122efd79197f04c8964
3.fe69622beeb63f85388fe11074ce93c6765f544c"
"pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/ClipNonZeroRule.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CloseAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CloseFillEvenOddAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CloseFillNonZeroAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/ClosePath.java","1.a8cbfd833f52da467b561b068cfca9f09751e48f
2.b9273c34bf11968c3bf25122efd79197f04c8964
3.fe69622beeb63f85388fe11074ce93c6765f544c"
